split,arm,J,fbsfbs_n,fbsfbs_logloss,fbsfbs_brier,fbsfbs_mae,fbsfbs_rmse,fbsfbs_winners,fbsfbs_calib_slope,fbsfbs_calib_slope_site,fbsfbs_p4g5,fbsfcs_n,fbsfcs_bias,fbsfcs_mae,fbsfcs_rmse,fbsfcs_winners,fbsfcs_logloss,fbsfcs_brier,fbsfcs_pred_sd,fbsfcs_pred_mean,fbsfcs_fcs_mean,fcsfcs_n,fcsfcs_mae,fcsfcs_rmse,fcsfcs_bias,fcsfcs_calib_slope,fcsfcs_spearman,family
dev,L_rolling3_n20,0.483674971946423,3868,0.524774080128134,0.176354087339438,12.8170011641736,16.1709402810582,0.726473629782834,0.997188086181303,0.998369886440872,4.41865474451498,561,1.76438724712534,13.6027263472736,16.8562995094519,0.934046345811052,0.200303580775551,0.0537763150166961,12.0590551208281,30.9141198674462,-28.558693028276,2958,13.0348825758524,16.4856065938943,0.903548267052413,1.0640459944916,0.607778366291113,L
dev,M00,0.491399931752798,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,-10.17298897133,15.9120216262835,19.7084887262478,0.928698752228164,0.251963416085339,0.0693724484092311,12.1248400646756,18.9767436489908,-17.1113440382796,,,,,,,M
dev,M04,0.487157003903998,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,-6.17298897133004,14.3393558082002,17.9733306902755,0.939393939393939,0.218466219218435,0.0583483965939514,12.1248400646756,22.9767436489908,-17.1113440382796,,,,,,,M
dev,M06,0.485924982906609,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,-4.17298897133004,13.8132525684453,17.3881758737562,0.935828877005348,0.208739622075045,0.055429698880274,12.1248400646756,24.9767436489908,-17.1113440382796,,,,,,,M
dev,M08,0.485217999983754,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,-2.17298897133004,13.5256437017437,17.0193038732892,0.935828877005348,0.203158111619928,0.0538346598737489,12.1248400646756,26.9767436489908,-17.1113440382796,,,,,,,M
dev,M10,0.484988452925153,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,-0.172988971330042,13.4411344979966,16.8808989229258,0.934046345811052,0.20134587646387,0.0532826542076974,12.1248400646756,28.9767436489908,-17.1113440382796,,,,,,,M
dev,M12,0.485191832676113,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,1.82701102866996,13.6377420163918,16.9785980740672,0.934046345811052,0.202951525157275,0.0535200571234222,12.1248400646756,30.9767436489908,-17.1113440382796,,,,,,,M
dev,M14,0.485786984678661,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,3.82701102866996,14.0198158035424,17.3084036431843,0.932263814616756,0.207650149434078,0.0543245124238205,12.1248400646756,32.9767436489908,-17.1113440382796,,,,,,,M
dev,SR_on_L_last_n20,0.483589333159621,3868,0.524763069347831,0.176354328500747,12.8174305572872,16.1716266357379,0.72699069286453,0.997279462178031,0.998471964036398,4.41887370690888,561,0.986389515895575,13.5681244080194,16.8348449779073,0.932263814616756,0.19970339452149,0.0534750142980903,12.019014887512,30.1361221362164,-27.7741176887968,2958,13.0337048316489,16.4838507868525,0.906036320739765,1.06422717512355,0.607800003127061,SR
dev,S2_on_G12,0.483825102526634,3868,0.524654548540614,0.176314449464465,12.8197700314144,16.1777156566934,0.727249224405377,0.993838775637082,0.994983820971368,4.39151529976582,561,1.19218047410747,13.6268316596876,16.9083254822294,0.932263814616756,0.202312986337561,0.0540741909659094,11.6586079456115,30.3419130944283,-28.0027160988642,2958,13.285124035031,16.8289993046404,0.747823259269722,1.16999020333369,0.59211674100171,S_G
