split,slice_type,slice,comparison,A_logloss,A_mae,metric,delta,lo95,hi95,n
cond,gp_bucket,0,A0 - A,0.451847445363621,12.7562050194923,logloss,0.00281772194122984,-0.000840407299771193,0.00722276637552289,272
cond,gp_bucket,0,A0 - A,0.451847445363621,12.7562050194923,brier,0.000885414624105735,-0.00046503902235486,0.00245626531094197,272
cond,gp_bucket,0,A0 - A,0.451847445363621,12.7562050194923,mae,0.0420600175440779,-0.0168965203881354,0.115077256760682,272
cond,gp_bucket,0,A0 - A,0.451847445363621,12.7562050194923,rmse,0.0494953023639013,-0.0230733754495528,0.146161455081587,272
cond,gp_bucket,0,B - A,0.451847445363621,12.7562050194923,logloss,3.58435989805605e-05,-0.000682708566024297,0.000824668276877202,272
cond,gp_bucket,0,B - A,0.451847445363621,12.7562050194923,brier,3.88685007891385e-05,-0.000228246039233845,0.000312923195249805,272
cond,gp_bucket,0,B - A,0.451847445363621,12.7562050194923,mae,-0.00265723972957346,-0.0162838213106617,0.0152855787248553,272
cond,gp_bucket,0,B - A,0.451847445363621,12.7562050194923,rmse,-0.00530659359742103,-0.0217794818540778,0.0158841462989106,272
cond,gp_bucket,1,A0 - A,0.480595232257768,11.9444746269024,logloss,-0.00163735371705078,-0.00475383471827616,0.0014940415674375,213
cond,gp_bucket,1,A0 - A,0.480595232257768,11.9444746269024,brier,-0.000631641125411817,-0.00209365500201693,0.000927333414696114,213
cond,gp_bucket,1,A0 - A,0.480595232257768,11.9444746269024,mae,-0.0466965910522574,-0.153774357089334,0.027628702969218,213
cond,gp_bucket,1,A0 - A,0.480595232257768,11.9444746269024,rmse,-0.0115189112183884,-0.112112494784932,0.0530398363904875,213
cond,gp_bucket,1,B - A,0.480595232257768,11.9444746269024,logloss,-0.000600789474534764,-0.0017043402371793,0.000639941032365339,213
cond,gp_bucket,1,B - A,0.480595232257768,11.9444746269024,brier,-0.000228681403789789,-0.00067577032669303,0.000328712686282734,213
cond,gp_bucket,1,B - A,0.480595232257768,11.9444746269024,mae,-0.026656514408537,-0.0555832269314248,0.00522871262555444,213
cond,gp_bucket,1,B - A,0.480595232257768,11.9444746269024,rmse,-0.0172376789348689,-0.0401671742220141,0.00358409570032645,213
cond,gp_bucket,2-3,A0 - A,0.509767413974646,11.4213437605861,logloss,0.00410016687561605,0.00130959501123939,0.00682557630252999,385
cond,gp_bucket,2-3,A0 - A,0.509767413974646,11.4213437605861,brier,0.00183181564634933,0.000650058186826091,0.00294527391703704,385
cond,gp_bucket,2-3,A0 - A,0.509767413974646,11.4213437605861,mae,0.126038114207255,0.0822341020851209,0.17856991265784,385
cond,gp_bucket,2-3,A0 - A,0.509767413974646,11.4213437605861,rmse,0.128934023845158,0.0548278796489653,0.199134389279432,385
cond,gp_bucket,2-3,B - A,0.509767413974646,11.4213437605861,logloss,0.000284450828496163,-0.000784952728754714,0.00109205758578611,385
cond,gp_bucket,2-3,B - A,0.509767413974646,11.4213437605861,brier,0.00013682748573241,-0.000306561560671134,0.000470701848619868,385
cond,gp_bucket,2-3,B - A,0.509767413974646,11.4213437605861,mae,0.0177794830490858,-0.0108065106936986,0.0370814771288636,385
cond,gp_bucket,2-3,B - A,0.509767413974646,11.4213437605861,rmse,0.0128780951638294,-0.0137197026066829,0.032171947074894,385
cond,gp_bucket,4-6,A0 - A,0.561484912394277,12.796751176886,logloss,0.0016006868482992,-0.00041582590656748,0.00355362917227511,601
cond,gp_bucket,4-6,A0 - A,0.561484912394277,12.796751176886,brier,0.000743424611947654,-0.00022285158661843,0.00168226387448864,601
cond,gp_bucket,4-6,A0 - A,0.561484912394277,12.796751176886,mae,-0.0054136091636654,-0.0667382055825711,0.0511721232411103,601
cond,gp_bucket,4-6,A0 - A,0.561484912394277,12.796751176886,rmse,-0.00384148846519672,-0.0617413290840693,0.0558480030087276,601
cond,gp_bucket,4-6,B - A,0.561484912394277,12.796751176886,logloss,7.48812709153393e-05,-0.000596743659082089,0.000746271747844774,601
cond,gp_bucket,4-6,B - A,0.561484912394277,12.796751176886,brier,3.45746650050952e-05,-0.000259083379118321,0.000318761335563706,601
cond,gp_bucket,4-6,B - A,0.561484912394277,12.796751176886,mae,-0.00238323237860634,-0.0129053416765293,0.00779918420078719,601
cond,gp_bucket,4-6,B - A,0.561484912394277,12.796751176886,rmse,-0.00667040429929777,-0.0171390615349572,0.00332000485083173,601
cond,gp_bucket,7+,A0 - A,0.553310657040321,12.2015811468116,logloss,-0.00118921434643589,-0.00306490514359551,0.000611435603138318,927
cond,gp_bucket,7+,A0 - A,0.553310657040321,12.2015811468116,brier,-0.000401827509787309,-0.00116881444651056,0.000336128818230976,927
cond,gp_bucket,7+,A0 - A,0.553310657040321,12.2015811468116,mae,-0.0107939731442197,-0.0479159963679819,0.0251085008660508,927
cond,gp_bucket,7+,A0 - A,0.553310657040321,12.2015811468116,rmse,-0.0321737959520654,-0.0683790119036231,0.00314765963184196,927
