universe,slice_type,slice,comparison,metric,estimate,lo95,hi95,lo90,hi90,se,n
dev,gp_bucket_fbs_only,0,C2f - I,brier,-0.00111785691602488,-0.010638223521804,0.00846426475067676,-0.008949613540193,0.00679412312315622,0.0047513368656556,442
dev,gp_bucket_fbs_only,0,C2f - I,mae,-0.56463964448074,-0.898845016086996,-0.265150343161662,-0.830207108061299,-0.315547136201767,0.161220575757933,442
dev,gp_bucket_fbs_only,0,C2f - I,rmse,-0.663183338057138,-1.14261143792051,-0.202998472669686,-1.06267160978123,-0.285549056486305,0.237841282879066,442
dev,gp_bucket_fbs_only,1,C - I,logloss,-0.00843700818119138,-0.0278044841239201,0.0114371267470351,-0.0237517326998862,0.00856800477984943,0.00996945188376185,343
dev,gp_bucket_fbs_only,1,C - I,brier,-0.00588731364995001,-0.0137184668961461,0.0024360476751446,-0.0122461595364042,0.000962122507014697,0.00406520257359521,343
dev,gp_bucket_fbs_only,1,C - I,mae,-0.505730848515604,-0.771252987104809,-0.183226064600812,-0.734355200681414,-0.240519458399704,0.149147819563407,343
dev,gp_bucket_fbs_only,1,C - I,rmse,-0.600940350024704,-1.03857702524128,-0.110296924548432,-0.964502297322322,-0.202366913992236,0.234092074406022,343
dev,gp_bucket_fbs_only,1,C - C2f,logloss,0.00385010536196424,-0.00315483405589645,0.0100352385205437,-0.00167303071276886,0.00890006681874443,0.00327815947786868,343
dev,gp_bucket_fbs_only,1,C - C2f,brier,0.00250285827617661,0.000364029608611909,0.00524479051968938,0.000614527386710444,0.00474612168217396,0.00127081490037106,343
dev,gp_bucket_fbs_only,1,C - C2f,mae,-0.0613378713333597,-0.192486631379972,0.0775959109024368,-0.173913479995893,0.0547388323051927,0.0695815192797212,343
dev,gp_bucket_fbs_only,1,C - C2f,rmse,-0.106192950389065,-0.25712203305413,0.0301978579936914,-0.234284913167192,0.0095284652718616,0.0738192081976947,343
dev,gp_bucket_fbs_only,1,C2f - I,logloss,-0.0122871135431556,-0.0296591672951269,0.00819191024719605,-0.0265424807659132,0.0049318645007011,0.00971080123245262,343
dev,gp_bucket_fbs_only,1,C2f - I,brier,-0.00839017192612661,-0.0158436956587916,-6.26332252683255e-05,-0.0144843373868263,-0.00146108454533242,0.00401541709988771,343
dev,gp_bucket_fbs_only,1,C2f - I,mae,-0.444392977182245,-0.686092493197753,-0.126309083744031,-0.65129042512758,-0.183801391752324,0.141827291147476,343
dev,gp_bucket_fbs_only,1,C2f - I,rmse,-0.494747399635639,-0.889392076917934,-0.020218539929309,-0.808139972944507,-0.0961357099934629,0.218273853104527,343
dev,gp_bucket_fbs_only,2-3,C - I,logloss,-0.00795787458217617,-0.0241804941192523,0.00952005307206313,-0.0219847267184092,0.00665727048079532,0.00863812869655087,660
dev,gp_bucket_fbs_only,2-3,C - I,brier,-0.00432907887133402,-0.0116113701521354,0.00300719358182557,-0.0105143947479034,0.0018777049902407,0.00375095612072176,660
dev,gp_bucket_fbs_only,2-3,C - I,mae,-0.295211424702767,-0.704764241335085,0.108015579926084,-0.630671340620621,0.0395187964140556,0.207982913400574,660
dev,gp_bucket_fbs_only,2-3,C - I,rmse,-0.264082817723093,-0.615480208709377,0.105463337738818,-0.563760129848345,0.0432139157581492,0.187278331756367,660
dev,gp_bucket_fbs_only,2-3,C - C2f,logloss,-0.00208885888478605,-0.00619207437244721,0.00180087906007902,-0.00552670527628881,0.00117299241495226,0.00204954314766503,660
dev,gp_bucket_fbs_only,2-3,C - C2f,brier,-0.00116011062002998,-0.00304148599133129,0.000487625052082149,-0.00274337111023911,0.000249337702032555,0.000910264717351719,660
dev,gp_bucket_fbs_only,2-3,C - C2f,mae,-0.028981422991108,-0.119618858561229,0.0487266156837059,-0.10296523826528,0.0374500899349497,0.0426410675102127,660
dev,gp_bucket_fbs_only,2-3,C - C2f,rmse,-0.0384198855217193,-0.138613627189602,0.0496553043177139,-0.120015725144182,0.0343336985758251,0.0476046426523522,660
dev,gp_bucket_fbs_only,2-3,C2f - I,logloss,-0.00586901569739013,-0.0224370799601224,0.0117694028967943,-0.0198212688449291,0.00869605173595623,0.00877521949760478,660
dev,gp_bucket_fbs_only,2-3,C2f - I,brier,-0.00316896825130404,-0.0106124709472194,0.0044834947422465,-0.00936614842677686,0.00330477983202225,0.00389970749168701,660
dev,gp_bucket_fbs_only,2-3,C2f - I,mae,-0.266230001711658,-0.683411123636394,0.147662074125111,-0.610302672471813,0.0810175910015601,0.214312749100972,660
dev,gp_bucket_fbs_only,2-3,C2f - I,rmse,-0.225662932201374,-0.578735146047006,0.148260656164696,-0.522880578308787,0.0836973281196991,0.187182354223769,660
dev,gp_bucket_fbs_only,4-6,C - I,logloss,-0.0101691867684789,-0.0206272415946903,-0.000271133353490223,-0.0190944032042994,-0.00180728475906844,0.00524092760971116,945
dev,gp_bucket_fbs_only,4-6,C - I,brier,-0.00434840206205573,-0.00834219477159285,-0.000487818104564648,-0.0076673866949959,-0.00109742802253825,0.00199417101452278,945
dev,gp_bucket_fbs_only,4-6,C - I,mae,-0.0361244353694249,-0.248001577880606,0.187858439815231,-0.215747262638165,0.149612608400742,0.110432975953871,945
dev,gp_bucket_fbs_only,4-6,C - I,rmse,0.0389567153563881,-0.160864125426235,0.24498717907329,-0.126907407090578,0.20769703158345,0.102818916407943,945
dev,gp_bucket_fbs_only,4-6,C - C2f,logloss,-0.00152493052247408,-0.00311658132059102,9.92431563877346e-06,-0.00283394082999758,-0.000238182576296218,0.000794724848021527,945
dev,gp_bucket_fbs_only,4-6,C - C2f,brier,-0.000487832624112478,-0.00112963484039422,0.000144412288545115,-0.00102344949620457,3.58760708058407e-05,0.000326030056365171,945
dev,gp_bucket_fbs_only,4-6,C - C2f,mae,6.89792830886674e-05,-0.0274817373934817,0.0293211407847359,-0.0227267989222097,0.0237224593256123,0.0142002233679922,945
dev,gp_bucket_fbs_only,4-6,C - C2f,rmse,-0.0187552524186465,-0.05058640643224,0.0159916749384608,-0.0457075507255382,0.01067222709904,0.0169172356698118,945
dev,gp_bucket_fbs_only,4-6,C2f - I,logloss,-0.00864425624600484,-0.0194550107966154,0.00172809252178059,-0.0177801815277586,2.95470872801631e-05,0.00544061241066368,945
dev,gp_bucket_fbs_only,4-6,C2f - I,brier,-0.00386056943794326,-0.00797270501186093,9.92386185662716e-05,-0.00728997752874754,-0.00050163284800996,0.00207237131066598,945
dev,gp_bucket_fbs_only,4-6,C2f - I,mae,-0.0361934146525136,-0.258749542565117,0.195707488772313,-0.22463576899649,0.156553288160504,0.115098088717079,945
