split,model,gp,n,logloss,brier,mae,rmse,bias,calib_slope,pred_sd,winners
cond,NP,2,184,0.510111797414559,0.168541204705659,14.2629994663578,17.6285101105338,-3.1408782696857,1.72706431323282,8.5352890953988,0.766304347826087
cond,NP,3,185,0.536358957316725,0.180266744567745,12.4332191495789,15.8797462293826,0.97963700240378,1.3619173315322,8.83030537885547,0.718918918918919
cond,NP,0-3,694,0.562877853862,0.191311204319624,15.3507958954567,19.6345962911061,-3.61496732073754,1.57881768527913,6.95334814007769,0.695965417867435
cond,NP,4-6,590,0.57340069755648,0.195980479713674,12.6866282186776,15.9276675849902,0.179585491674397,1.09366012561251,9.48025935343159,0.701694915254237
cond,NP,7+,1114,0.554570861301362,0.189143359209089,12.4173916573645,15.7050739907765,-0.469474050403358,1.16860496220906,10.067357692755,0.707360861759426
cond,NP,all,2398,0.561607832205283,0.191452944532032,13.3325843647918,16.9873853205742,-1.22011091436751,1.22011979236522,9.11950132678409,0.702668890742285
cond,I,0,170,0.512497335255887,0.169880130651018,13.3405871548689,16.9143168474751,-2.31836776011167,1.16809202430468,12.7500672910979,0.747058823529412
cond,I,1,155,0.466068944438716,0.154782064071167,13.0760858664528,16.9826340739005,-0.42632715302237,1.15340494518396,13.5296528760196,0.754838709677419
cond,I,2,184,0.462342061065466,0.157268033177951,12.295584659522,15.0488493964862,-0.624210715095419,1.05141002814234,15.146575504352,0.755434782608696
cond,I,3,185,0.49240370111856,0.166136555516925,11.6880385153257,15.0122294206528,2.03131656652095,0.980774629719928,13.0833972246154,0.756756756756757
cond,I,0-3,694,0.483473857816255,0.162166315586568,12.5639305883504,15.9566467977971,-0.287124545689671,1.08832722204715,13.7418241108138,0.753602305475504
cond,I,4-6,590,0.569282163814782,0.194176194914187,12.6267551935981,15.9013673926739,0.484389285416367,0.897386996882925,11.6154152247131,0.696610169491525
cond,I,7+,1114,0.551440859162481,0.187948827948208,12.4311998530837,15.6201105094962,-0.17015063397127,1.0087675884348,11.6285859649494,0.709156193895871
cond,I,all,2398,0.536160321552213,0.182019337927753,12.5177272847679,15.7874822415908,-0.0429618692898125,1.01473716473665,12.3702168872458,0.718932443703086
cond,D1_C2L,0,170,0.476454110209948,0.158257099898392,12.9628013234322,16.0968694545854,-0.883332731331688,1.09513245506098,14.200622483069,0.741176470588235
